,count,unique,top,freq,mean,std,min,25%,50%,75%,max
idade,300.0,,,,28.37,6.87050065600856,18.0,22.0,28.0,34.0,40.0
sexo,300,2,F,162,,,,,,,
imc,300.0,,,,25.21633333333333,4.697679625990942,16.0,21.9,25.3,28.424999999999997,38.4
atividade_fisica_nivel,300.0,,,,1.1666666666666667,1.0011142064737502,0.0,0.0,1.0,2.0,3.0
historico_familiar_cardiovascular,300.0,,,,0.29333333333333333,0.45605061425764204,0.0,0.0,0.0,1.0,1.0
status_uso_nicotina,300.0,,,,0.6866666666666666,0.8470816844650086,0.0,0.0,0.0,1.25,2.0
tipo_exposicao,300.0,,,,0.7533333333333333,0.9741588716664134,0.0,0.0,0.0,2.0,3.0
anos_de_uso,300.0,,,,3.493333333333333,5.23654085147688,0.0,0.0,0.0,6.0,20.0
cigarros_por_dia,300.0,,,,1.7333333333333334,4.091211997389144,0.0,0.0,0.0,0.0,26.0
puffs_vape_por_dia,300.0,,,,34.43,78.48139608705087,0.0,0.0,0.0,4.5,408.0
pressao_sistolica,300.0,,,,119.79,10.613894156429092,90.0,112.75,119.5,127.0,147.0
pressao_diastolica,300.0,,,,75.53666666666666,6.758766552158572,55.0,71.0,75.0,80.0,99.0
frequencia_cardiaca_repouso,300.0,,,,70.83,8.214989562483066,52.0,65.0,71.0,76.0,99.0
colesterol_total,300.0,,,,185.11333333333334,26.354677998353125,120.0,166.0,186.0,201.0,284.0
spo2,300.0,,,,97.55333333333333,1.3164087494166425,94.0,97.0,98.0,98.0,100.0
sintoma_principal,300,6,assintomatico,78,,,,,,,
triagem_risco_simulada,300,3,baixo,181,,,,,,,
